      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-01-12 21:51:40,   6090,       3.03,           3,       0.01,     2009.90,        0.99,       11.00,    6094,       0
2017-01-12 21:51:43,   5971,       2.98,           3,       0.01,     2003.69,        1.01,       10.90,    5977,       0
2017-01-12 21:51:46,   5941,       2.98,           3,       0.01,     1993.62,        1.01,       10.70,    5948,       0
2017-01-12 21:51:49,   5986,       2.98,           3,       0.01,     2008.72,        1.01,       10.84,    5990,       0
2017-01-12 21:51:52,   5941,       2.98,           3,       0.01,     1993.62,        1.01,       10.78,    5942,       0
2017-01-12 21:51:55,   5907,       2.98,           3,       0.01,     1982.21,        1.01,       10.70,    5908,       0
2017-01-12 21:51:58,   5894,       2.98,           3,       0.01,     1977.85,        1.01,       10.84,    5898,       0
2017-01-12 21:52:01,   5883,       2.98,           3,       0.01,     1974.16,        1.01,       10.93,    5890,       0
2017-01-12 21:52:04,   5921,       2.98,           3,       0.01,     1986.91,        1.01,       10.68,    5928,       0
2017-01-12 21:52:07,   5907,       2.98,           3,       0.01,     1982.21,        1.01,       10.74,    5910,       0
