      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-01-12 22:01:40,   2639,       1.39,           1,       0.01,     1898.56,        0.72,       10.60,    2644,       0
2017-01-12 22:01:42,   3745,       1.98,           2,       0.01,     1891.41,        1.01,       10.48,    3747,       0
2017-01-12 22:01:44,   3731,       1.98,           2,       0.01,     1884.34,        1.01,       10.26,    3736,       0
2017-01-12 22:01:46,   3762,       1.98,           2,       0.01,     1900.00,        1.01,       10.71,    3766,       0
2017-01-12 22:01:48,   3712,       1.98,           2,       0.01,     1874.75,        1.01,       10.49,    3716,       0
2017-01-12 22:01:50,   3704,       1.98,           2,       0.01,     1870.71,        1.01,       10.62,    3707,       0
2017-01-12 22:01:52,   3707,       1.98,           2,       0.01,     1872.22,        1.01,       10.53,    3708,       0
2017-01-12 22:01:54,   3701,       1.98,           2,       0.01,     1869.19,        1.01,       10.49,    3706,       0
2017-01-12 22:01:56,   3711,       1.98,           2,       0.01,     1874.24,        1.01,       10.55,    3718,       0
2017-01-12 22:01:58,   3731,       1.98,           2,       0.01,     1884.34,        1.01,       10.48,    3739,       0
