      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-01-12 21:52:59,   6621,       2.88,           3,       0.00,     2298.96,        1.04,       10.55,    6624,       0
2017-01-12 21:53:02,   6723,       2.98,           3,       0.00,     2256.04,        1.01,       10.76,    6724,       0
2017-01-12 21:53:05,   6692,       2.98,           3,       0.00,     2245.64,        1.01,       10.63,    6695,       0
2017-01-12 21:53:08,   6708,       2.98,           3,       0.00,     2251.01,        1.01,       10.66,    6716,       0
2017-01-12 21:53:11,   6588,       2.98,           3,       0.00,     2210.74,        1.01,       10.79,    6591,       0
2017-01-12 21:53:14,   6687,       2.98,           3,       0.00,     2243.96,        1.01,       10.46,    6691,       0
2017-01-12 21:53:17,   6670,       2.98,           3,       0.00,     2238.26,        1.01,       10.54,    6678,       0
2017-01-12 21:53:20,   6639,       2.98,           3,       0.00,     2227.85,        1.01,       10.78,    6641,       0
2017-01-12 21:53:23,   6774,       2.98,           3,       0.00,     2273.15,        1.01,       10.58,    6776,       0
2017-01-12 21:53:26,   6733,       2.98,           3,       0.00,     2259.40,        1.01,       10.56,    6735,       0
